"DCODE-BCODE";"DNAME - BNAME";"DCODE";"DNAME";0;"BCODE";"BNAME";0
"47070-08624";"HOWELL PUBLIC SCHOOLS - VOYAGER ELEMENTARY SCHOOL";;;;"04149";"L'ANSE HIGH SCHOOL";0
"47070-09167";"HOWELL PUBLIC SCHOOLS - RUAHMAH J. HUTCHINGS ELEMENTARY";;;;"04153";"THEO V. EDDY ELEMENTARY SCHOOL";0
"47080-00000";"PINCKNEY COMMUNITY SCHOOLS - ALL SCHOOLS";;;;"04154";"THEODORE ROOSEVELT SCHOOL";0
"47080-00564";"PINCKNEY COMMUNITY SCHOOLS - COUNTRY ELEMENTARY SCHOOL";;;;"04155";"ROOSEVELT PRIMARY SCHOOL";0
"47080-03037";"PINCKNEY COMMUNITY SCHOOLS - PINCKNEY ELEMENTARY SCHOOL";;;;"04156";"THIRKELL ELEMENTARY SCHOOL";0
"47080-03038";"PINCKNEY COMMUNITY SCHOOLS - PINCKNEY HIGH SCHOOL";;;;"04158";"THOMAS A. EDISON ELEM. SCHOOL";0
"47080-06553";"PINCKNEY COMMUNITY SCHOOLS - NAVIGATOR SCHOOL";;;;"04159";"EDISON MAX DAY TREATMENT";0
"47080-07720";"PINCKNEY COMMUNITY SCHOOLS - FARLEY HILL ELEMENTARY SCHOOL";;;;"04160";"EDISON ELEMENTARY SCHOOL";0
"47080-08618";"PINCKNEY COMMUNITY SCHOOLS - LAKELAND ELEMENTARY SCHOOL";;;;"04162";"THOMAS A. EDISON ELEM. SCHOOL";0
"47080-08715";"PINCKNEY COMMUNITY SCHOOLS - PATHFINDER SCHOOL";;;;"04167";"THOMAS JEFFERSON ELEM. SCHOOL";0
"47901-00000";"KENSINGTON WOODS HIGH SCHOOL - ALL SCHOOLS";;;;"04169";"COOLEY ELEMENTARY SCHOOL";0
"47901-08248";"KENSINGTON WOODS HIGH SCHOOL - KENSINGTON WOODS HIGH SCHOOL";;;;"04170";"THOMAS READ ELEMENTARY SCHOOL";0
"47902-00000";"CHARYL STOCKWELL ACADEMY - ALL SCHOOLS";;;;"04172";"THOMAS SIMPSON MIDDLE SCHOOL";0
"47902-08327";"CHARYL STOCKWELL ACADEMY - CHARYL STOCKWELL ACADEMY";;;;"04175";"THORNAPPLE ELEMENTARY SCHOOL";0
"48040-00000";"TAHQUAMENON AREA SCHOOLS - ALL SCHOOLS";;;;"04176";"THORNAPPLE KELLOGG HIGH SCHOOL";0
"48040-02690";"TAHQUAMENON AREA SCHOOLS - NEWBERRY ELEMENTARY SCHOOL";;;;"04177";"THORNE ELEMENTARY SCHOOL";0
"48040-02692";"TAHQUAMENON AREA SCHOOLS - NEWBERRY HIGH SCHOOL";;;;"04180";"THREE OAKS ELEMENTARY SCHOOL";0
"48040-05049";"TAHQUAMENON AREA SCHOOLS - NEWBERRY MIDDLE SCHOOL";;;;"04181";"THREE RIVERS HIGH SCHOOL";0
"49010-00000";"ST. IGNACE AREA SCHOOLS - ALL SCHOOLS";;;;"04182";"THURSTON ELEMENTARY SCHOOL";0
"49010-02135";"ST. IGNACE AREA SCHOOLS - LASALLE HIGH SCHOOL";;;;"04185";"TOBEY ELEMENTARY SCHOOL";0
"49010-07556";"ST. IGNACE AREA SCHOOLS - ST. IGNACE MIDDLE SCHOOL";;;;"04187";"TA WILSON SCHOOL";0
"49010-08587";"ST. IGNACE AREA SCHOOLS - ST. IGNACE ELEMENTARY SCHOOL";;;;"04194";"TOWNLINE ELEMENTARY ";0
"49020-00000";"BOIS BLANC PINES SCHOOL DISTRICT - ALL SCHOOLS";;;;"04199";"WEST MIDDLE SCHOOL";0
"49020-05804";"BOIS BLANC PINES SCHOOL DISTRICT - BOIS BLANC PINES SCHOOL";;;;"04200";"CENTRAL HIGH SCHOOL";0
"49040-00000";"LES CHENEAUX COMMUNITY SCHOOLS - ALL SCHOOLS";;;;"04201";"TRAVERSE HEIGHTS ELEM. SCHOOL";0
"49040-02163";"LES CHENEAUX COMMUNITY SCHOOLS - CEDARVILLE HIGH SCHOOL";;;;"04203";"TRENTON HIGH SCHOOL";0
"49040-07615";"LES CHENEAUX COMMUNITY SCHOOLS - CEDARVILLE ELEMENTARY SCHOOL";;;;"04222";"TRIX ELEMENTARY SCHOOL";0
"49040-08446";"LES CHENEAUX COMMUNITY SCHOOLS - CEDARVILLE MIDDLE SCHOOL";;;;"04226";"TROY HIGH SCHOOL";0
"49055-00000";"ENGADINE CONSOLIDATED SCHOOLS - ALL SCHOOLS";;;;"04227";"TROY UNION ELEMENTARY SCHOOL";0
"49055-01148";"ENGADINE CONSOLIDATED SCHOOLS - ENGADINE ELEMENTARY SCHOOL";;;;"04233";"TURRILL ELEMENTARY SCHOOL";0
"49055-01149";"ENGADINE CONSOLIDATED SCHOOLS - ENGADINE HIGH SCHOOL";;;;"04235";"TWIN BEACH ELEMENTARY";0
"49070-00000";"MORAN TOWNSHIP SCHOOL DISTRICT - ALL SCHOOLS";;;;"04236";"TWIN RIVERS ELEMENTARY SCHOOL";0
"49070-01509";"MORAN TOWNSHIP SCHOOL DISTRICT - GROS CAP SCHOOL";;;;"04237";"HOLLAND WOODS MIDDLE SCHOOL";0
"49110-00000";"MACKINAC ISLAND PUBLIC SCHOOLS - ALL SCHOOLS";;;;"04240";"TYRONE ELEMENTARY SCHOOL";0
"49110-02305";"MACKINAC ISLAND PUBLIC SCHOOLS - MACKINAC ISLAND SCHOOL";;;;"04243";"UBLY COMMUNITY ELEMENTARY SCHOOL";0
"50000-00000";"MACOMB ISD - ALL SCHOOLS";;;;"04246";"UNION CITY MIDDLE SCHOOL";0
"50000-01330";"MACOMB ISD - ROCKWELL SCHOOL";;;;"04247";"UNION CITY HIGH SCHOOL";0
"50000-01344";"MACOMB ISD - MAPLE LANE SCHOOL";;;;"04248";"UNION CITY ELEMENTARY SCHOOL";0
"50000-01376";"MACOMB ISD - NEIL E. REID HIGH SCHOOL";;;;"04251";"UNION HIGH SCHOOL";0
"50010-00000";"CENTER LINE PUBLIC SCHOOLS - ALL SCHOOLS";;;;"04253";"UNION HIGH SCHOOL";0
"50010-00580";"CENTER LINE PUBLIC SCHOOLS - CENTER LINE HIGH SCHOOL";;;;"04255";"UNIONVILLE-SEBEWAING HIGH SCHOOL";0
"50010-00842";"CENTER LINE PUBLIC SCHOOLS - CROTHERS ELEMENTARY SCHOOL";;;;"04259";"UNITED OAKS ELEMENTARY SCHOOL";0
"50010-01594";"CENTER LINE PUBLIC SCHOOLS - MILLER ELEMENTARY SCHOOL";;;;"04264";"ALFRED E. UPTON ELEMENTARY SCHOOL";0
"50010-02380";"CENTER LINE PUBLIC SCHOOLS - MARK C. ROOSE ELEMENTARY SCHOOL";;;;"04266";"URBANDALE SCHOOL";0
"50010-02445";"CENTER LINE PUBLIC SCHOOLS - MAY V. PECK ELEMENTARY SCHOOL";;;;"04272";"VALLEY VIEW ELEMENTARY SCHOOL";0
"50010-04575";"CENTER LINE PUBLIC SCHOOLS - WOLFE MIDDLE SCHOOL";;;;"04274";"VALLEY VIEW ELEMENTARY SCHOOL";0
"50020-00000";"EAST DETROIT PUBLIC SCHOOLS - ALL SCHOOLS";;;;"04275";"VERN VAN Y. SCHOOL";0
"50020-00268";"EAST DETROIT PUBLIC SCHOOLS - BELLVIEW  ELEMENTARY SCHOOL";;;;"04277";"VANDENBERG ELEMENTARY SCHOOL";0
"50020-00828";"EAST DETROIT PUBLIC SCHOOLS - CRESCENTWOOD ELEMENTARY SCHOOL";;;;"04278";"VANDENBERG ELEMENTARY SCHOOL";0
"50020-01003";"EAST DETROIT PUBLIC SCHOOLS - EAST DETROIT HIGH SCHOOL";;;;"04284";"VANDERCOOK LAKE HIGH SCHOOL";0
"50020-01266";"EAST DETROIT PUBLIC SCHOOLS - FOREST PARK ELEMENTARY SCHOOL";;;;"04287";"VASSAR SENIOR HIGH SCHOOL";0
"50020-02009";"EAST DETROIT PUBLIC SCHOOLS - KELLY MIDDLE SCHOOL";;;;"04288";"VERA RALYA ELEMENTARY SCHOOL";0
"50020-02820";"EAST DETROIT PUBLIC SCHOOLS - OAKWOOD MIDDLE SCHOOL";;;;"04290";"VERELLEN ELEMENTARY SCHOOL";0
"50020-03074";"EAST DETROIT PUBLIC SCHOOLS - PLEASANTVIEW  ELEMENTARY SCHOOL";;;;"04292";"VERNOR ELEMENTARY SCHOOL";0
"50020-03272";"EAST DETROIT PUBLIC SCHOOLS - ROOSEVELT ELEMENTARY SCHOOL";;;;"04293";"VERONA MILLS SCHOOL";0
"50020-04585";"EAST DETROIT PUBLIC SCHOOLS - WOODLAND ELEMENTARY SCHOOL";;;;"04294";"VERONA SCHOOL";0
"50020-08184";"EAST DETROIT PUBLIC SCHOOLS - KELLWOOD  SCHOOL (ALTERNATIVE)";;;;"04296";"VESTABURG COMMUNITY HIGH SCHOOL";0
"50030-00000";"ROSEVILLE COMMUNITY SCHOOLS - ALL SCHOOLS";;;;"04299";"VICKSBURG HIGH SCHOOL";0
"50030-00078";"ROSEVILLE COMMUNITY SCHOOLS - ALUMNI MEMORIAL SCHOOL";;;;"04304";"VIOLET ELEMENTARY SCHOOL";0
"50030-00112";"ROSEVILLE COMMUNITY SCHOOLS - ARBOR ELEMENTARY SCHOOL";;;;"04312";"VOLINIA OUTCOME BASE SCHOOL";0
"50030-00937";"ROSEVILLE COMMUNITY SCHOOLS - DORT ELEMENTARY SCHOOL";;;;"04315";"VOWLES SCHOOL";0
"50030-01049";"ROSEVILLE COMMUNITY SCHOOLS - EASTLAND ELEMENTARY SCHOOL";;;;"04319";"BOW ELEMENTARY SCHOOL";0
"50030-01050";"ROSEVILLE COMMUNITY SCHOOLS - EASTLAND JUNIOR HIGH SCHOOL";;;;"04320";"W.K. KELLOGG MIDDLE SCHOOL";0
"50030-01070";"ROSEVILLE COMMUNITY SCHOOLS - GUEST COMMUNITY ED. CENTER";;;;"04323";"WACOUSTA ELEMENTARY SCHOOL";0
"50030-01279";"ROSEVILLE COMMUNITY SCHOOLS - FOUNTAIN ELEMENTARY SCHOOL";;;;"04328";"WAINWRIGHT SCHOOL";0
"50030-01800";"ROSEVILLE COMMUNITY SCHOOLS - HURON PARK ELEMENTARY SCHOOL";;;;"04329";"WAKEFIELD-MARENISCO SCHOOL";0
"50030-01987";"ROSEVILLE COMMUNITY SCHOOLS - KAISER ELEMENTARY SCHOOL";;;;"04330";"WALDRON ELEMENTARY SCHOOL";0
"50030-02199";"ROSEVILLE COMMUNITY SCHOOLS - LINCOLN ELEMENTARY SCHOOL";;;;"04331";"WALDRON HIGH SCHOOL";0
"50030-02278";"ROSEVILLE COMMUNITY SCHOOLS - LUCILE S. PATTON ELEM. SCHOOL";;;;"04334";"WALKER-WINTER ELEMENTARY SCHOOL";0
"50030-03295";"ROSEVILLE COMMUNITY SCHOOLS - ROSEVILLE JUNIOR HIGH SCHOOL";;;;"04335";"WALKER STATION SCHOOL";0
"50040-00000";"ANCHOR BAY SCHOOL DISTRICT - ALL SCHOOLS";;;;"04336";"WALKERVILLE MIDDLE/HIGH SCHOOL";0
"50040-00088";"ANCHOR BAY SCHOOL DISTRICT - ANCHOR BAY MIDDLE SCHOOL NORTH";;;;"04339";"JAMES R GEISLER MIDDLE SCHOOL";0
"50040-00089";"ANCHOR BAY SCHOOL DISTRICT - ANCHOR BAY HIGH SCHOOL";;;;"04340";"WALLED LAKE CENTRAL HIGH SCHOOL";0
"50040-00091";"ANCHOR BAY SCHOOL DISTRICT - ASHLEY ELEMENTARY SCHOOL";;;;"04341";"WALLED LAKE ELEMENTARY SCHOOL";0
"50040-00884";"ANCHOR BAY SCHOOL DISTRICT - DEAN A. NALDRETT SCHOOL";;;;"04343";"WALNUT HILLS ELEMENTARY SCHOOL";0
"50040-06262";"ANCHOR BAY SCHOOL DISTRICT - LOTTIE M. SCHMIDT ELEM. SCHOOL";;;;"04345";"STEELE MIDDLE SCHOOL";0
"50040-06600";"ANCHOR BAY SCHOOL DISTRICT - SUGARBUSH ELEMENTARY SCHOOL";;;;"04351";"WARDCLIFF ELEMENTARY SCHOOL";0
"50040-06766";"ANCHOR BAY SCHOOL DISTRICT - GREAT OAKS ELEMENTARY SCHOOL";;;;"04352";"WARNER ELEMENTARY SCHOOL";0
"50040-08474";"ANCHOR BAY SCHOOL DISTRICT - COMPASS POINT";;;;"04355";"WARREN WOODS MIDDLE SCHOOL";0
"50040-08623";"ANCHOR BAY SCHOOL DISTRICT - FRANCOIS MACONCE ELEM. SCHOOL";;;;"04357";"WASHINGTON MIDDLE SCHOOL";0
"50040-08710";"ANCHOR BAY SCHOOL DISTRICT - ANCHOR BAY MIDDLE SCHOOL SOUTH";;;;"04358";"WASHINGTON WRITERS' ACADEMY";0
"50040-08892";"ANCHOR BAY SCHOOL DISTRICT - MACDONALD ELEMENTARY SCHOOL";;;;"04360";"WASHINGTON SCHOOL";0
"50040-09208";"ANCHOR BAY SCHOOL DISTRICT - LIGHTHOUSE ELEMENTARY SCHOOL";;;;"04361";"WASHINGTON ELEMENTARY SCHOOL";0
"50050-00000";"ARMADA AREA SCHOOLS - ALL SCHOOLS";;;;"04366";"WASHINGTON GARDNER MIDDLE SCHOOL";0
"50050-00119";"ARMADA AREA SCHOOLS - ARMADA AREA HIGH SCHOOL";;;;"04367";"WASHINGTON SCHOOL";0
"50050-06493";"ARMADA AREA SCHOOLS - ARMADA MIDDLE SCHOOL";;;;"04368";"WASHINGTON  ELEMENTARY SCHOOL";0
"50050-08904";"ARMADA AREA SCHOOLS - ORVILLE C. KRAUSE LATER ELEMENTARY SCHOOL";;;;"04375";"WASHINGTON ELEMENTARY SCHOOL";0
"50070-00000";"CLINTONDALE COMMUNITY SCHOOLS - ALL SCHOOLS";;;;"04376";"WASHINGTON ELEMENTARY SCHOOL";0
"50070-00731";"CLINTONDALE COMMUNITY SCHOOLS - CLINTONDALE HIGH SCHOOL";;;;"04379";"WASHINGTON ELEMENTARY SCHOOL";0
"50070-04103";"CLINTONDALE COMMUNITY SCHOOLS - CHARLES C. MCGLINNEN SCHOOL";;;;"04386";"WASHINGTON ELEMENTARY SCHOOL ";0
"50070-05031";"CLINTONDALE COMMUNITY SCHOOLS - CLINTONDALE MIDDLE SCHOOL";;;;"04387";"WASHINGTON SCHOOL";0
"50070-06183";"CLINTONDALE COMMUNITY SCHOOLS - RAINBOW ELEMENTARY SCHOOL";;;;"04389";"WASHINGTON ELEMENTARY SCHOOL";0
"50070-06767";"CLINTONDALE COMMUNITY SCHOOLS - ROBBIE HALL PARKER SCHOOL";;;;"04393";"WATERFORD KETTERING HIGH SCHOOL";0
"50080-00000";"CHIPPEWA VALLEY SCHOOLS - ALL SCHOOLS";;;;"04395";"WATERFORD VILLAGE ELEMENTARY SCHOOL";0
"50080-00557";"CHIPPEWA VALLEY SCHOOLS - FOX ELEMENTARY SCHOOL";;;;"04396";"WATERLOO SCHOOL";0
"50080-00679";"CHIPPEWA VALLEY SCHOOLS - CHIPPEWA VALLEY HIGH SCHOOL";;;;"04397";"WATERSMEET TOWNSHIP SCHOOL";0
"50080-00728";"CHIPPEWA VALLEY SCHOOLS - CLINTON VALLEY ELEMENTARY SCHOOL";;;;"04398";"WATERVLIET SENIOR HIGH SCHOOL";0
"50080-00729";"CHIPPEWA VALLEY SCHOOLS - WYANDOT MIDDLE SCHOOL";;;;"04400";"WATTLES PARK ELEMENTARY SCHOOL";0
"50080-02655";"CHIPPEWA VALLEY SCHOOLS - IROQUOIS MIDDLE SCHOOL";;;;"04401";"WAUKAZOO ELEMENTARY SCHOOL";0
"50080-02821";"CHIPPEWA VALLEY SCHOOLS - OJIBWA ELEMENTARY SCHOOL";;;;"04402";"WAVERLY EAST INTERMEDIATE SCHOOL";0
"50080-05326";"CHIPPEWA VALLEY SCHOOLS - OTTAWA ELEMENTARY SCHOOL";;;;"04403";"WAVERLY SENIOR HIGH SCHOOL";0
"50080-05762";"CHIPPEWA VALLEY SCHOOLS - ALGONQUIN MIDDLE SCHOOL";;;;"04404";"WAYLAND HIGH SCHOOL";0
"50080-06359";"CHIPPEWA VALLEY SCHOOLS - HURON ELEMENTARY SCHOOL";;;;"04405";"WAYLEE ELEMENTARY SCHOOL";0
"50080-06588";"CHIPPEWA VALLEY SCHOOLS - MIAMI ELEMENTARY SCHOOL";;;;"04406";"WAYNE ELEMENTARY SCHOOL";0
"50080-07214";"CHIPPEWA VALLEY SCHOOLS - MOHAWK ELEMENTARY SCHOOL";;;;"04407";"WAYNE MEMORIAL HIGH SCHOOL";0
"50080-07370";"CHIPPEWA VALLEY SCHOOLS - ERIE ELEMENTARY SCHOOL";;;;"04409";"WEALTHY SCHOOL";0
"50080-07984";"CHIPPEWA VALLEY SCHOOLS - CHIPPEWA VALLEY ADULT AND MOHEGAN ALT. EDUC.";;;;"04413";"SAMPSON ACADEMY";0
"50080-07985";"CHIPPEWA VALLEY SCHOOLS - SENECA MIDDLE SCHOOL";;;;"04414";"WEBBER SCHOOL";0
"50080-07986";"CHIPPEWA VALLEY SCHOOLS - CHEROKEE ELEMENTARY SCHOOL";;;;"04415";"WEBBER K-8";0
"50080-08000";"CHIPPEWA VALLEY SCHOOLS - DAKOTA HIGH SCHOOL";;;;"04416";"WEBBERVILLE ELEMENTARY SCHOOL";0
"50080-08627";"CHIPPEWA VALLEY SCHOOLS - CHEYENNE ELEMENTARY SCHOOL";;;;"04417";"WEBBERVILLE HIGH SCHOOL";0
"50080-09035";"CHIPPEWA VALLEY SCHOOLS - SHAWNEE ELEMENTARY SCHOOL";;;;"04420";"WEBSTER ELEMENTARY SCHOOL";0
"50080-09670";"CHIPPEWA VALLEY SCHOOLS - SEQUOYAH ELEMENTARY SCHOOL";;;;"04421";"WEBSTER ELEMENTARY SCHOOL";0
"50080-09886";"CHIPPEWA VALLEY SCHOOLS - INTERNATIONAL  ACADEMY OF MACOMB";;;;"04422";"WEBSTER ELEMENTARY SCHOOL";0
"50090-00000";"FITZGERALD PUBLIC SCHOOLS - ALL SCHOOLS";;;;"04424";"WEIDMAN ELEMENTARY SCHOOL";0
"50090-01242";"FITZGERALD PUBLIC SCHOOLS - FITZGERALD SENIOR HIGH SCHOOL";;;;"04425";"WEISS ELEMENTARY SCHOOL";0
"50090-02623";"FITZGERALD PUBLIC SCHOOLS - MOUND PARK ELEMENTARY SCHOOL";;;;"04431";"WELLS TOWNSHIP SCHOOL";0
"50090-03412";"FITZGERALD PUBLIC SCHOOLS - SCHOFIELD ELEMENTARY SCHOOL";;;;"04432";"WELLSTON ELEMENTARY SCHOOL";0
"50090-04488";"FITZGERALD PUBLIC SCHOOLS - WESTVIEW ELEMENTARY SCHOOL";;;;"04435";"WEST BENDLE ELEMENTARY SCHOOL";0
"50090-05878";"FITZGERALD PUBLIC SCHOOLS - P.D. CHATTERTON MIDDLE SCHOOL";;;;"04437";"ORCHARD LAKE MIDDLE SCHOOL";0
"50100-00000";"FRASER PUBLIC SCHOOLS - ALL SCHOOLS";;;;"04438";"OGEMAW HEIGHTS HIGH SCHOOL";0
"50100-00955";"FRASER PUBLIC SCHOOLS - SALK ELEMENTARY SCHOOL";;;;"04444";"LEE ELEMENTARY SCHOOL";0
"50100-00978";"FRASER PUBLIC SCHOOLS - EISENHOWER ELEMENTARY SCHOOL";;;;"04449";"LINDBOM ELEMENTARY SCHOOL";0
"50100-01308";"FRASER PUBLIC SCHOOLS - FRASER HIGH SCHOOL";;;;"04450";"GRANDVILLE WEST ELEMENTARY SCHOOL";0
"50100-02382";"FRASER PUBLIC SCHOOLS - MARK TWAIN ELEMENTARY SCHOOL";;;;"04451";"WEST ELEMENTARY SCHOOL";0
"50100-03145";"FRASER PUBLIC SCHOOLS - RALPH WALDO EMERSON ELEM. SCHOOL";;;;"04453";"WEST GODWIN ELEMENTARY SCHOOL";0
"50100-04162";"FRASER PUBLIC SCHOOLS - THOMAS A. EDISON ELEM. SCHOOL";;;;"04455";"WEST MIDDLE SCHOOL";0
"50100-04904";"FRASER PUBLIC SCHOOLS - WALT DISNEY ELEMENTARY SCHOOL";;;;"04456";"EDUCATION OPTIONS";0
"50100-05957";"FRASER PUBLIC SCHOOLS - RICHARDS MIDDLE SCHOOL";;;;"04458";"WEST MIDDLE SCHOOL";0
"50120-00000";"LAKE SHORE PUBLIC SCHOOLS (MACOMB) - ALL SCHOOLS";;;;"04459";"WEST KELLOGGSVILLE SCHOOL";0
"50120-01883";"LAKE SHORE PUBLIC SCHOOLS (MACOMB) - RODGERS ELEMENTARY SCHOOL";;;;"04461";"WEST OAKVIEW ELEMENTARY SCHOOL";0
"50120-02089";"LAKE SHORE PUBLIC SCHOOLS (MACOMB) - LAKE SHORE HIGH SCHOOL";;;;"04462";"WEST OTTAWA HIGH SCHOOL CAMPUS";0
"50120-02433";"LAKE SHORE PUBLIC SCHOOLS (MACOMB) - MASONIC HEIGHTS ELEMENTARY SCHOOL";;;;"04463";"GARDEN CITY MIDDLE SCHOOL";0
"50120-04304";"LAKE SHORE PUBLIC SCHOOLS (MACOMB) - VIOLET ELEMENTARY SCHOOL";;;;"04468";"WEST UTICA ELEMENTARY SCHOOL";0
"50120-05197";"LAKE SHORE PUBLIC SCHOOLS (MACOMB) - KENNEDY MIDDLE SCHOOL";;;;"04469";"WEST WARD ELEMENTARY SCHOOL";0
"50130-00000";"LAKEVIEW PUBLIC SCHOOLS (MACOMB) - ALL SCHOOLS";;;;"04472";"WEST ELEMENTARY SCHOOL";0
"50130-00116";"LAKEVIEW PUBLIC SCHOOLS (MACOMB) - ARDMORE ELEMENTARY SCHOOL";;;;"04475";"WESTDALE ELEMENTARY SCHOOL";0
"50130-00677";"LAKEVIEW PUBLIC SCHOOLS (MACOMB) - JEFFERSON MIDDLE SCHOOL";;;;"04476";"WESTERN HIGH SCHOOL";0
"50130-01499";"LAKEVIEW PUBLIC SCHOOLS (MACOMB) - GREENWOOD ELEMENTARY SCHOOL";;;;"04477";"WESTERN INTERNATIONAL HIGH SCHOOL";0
"50130-01573";"LAKEVIEW PUBLIC SCHOOLS (MACOMB) - HARMON ELEMENTARY SCHOOL";;;;"04480";"PEWAMO-WESTPHALIA JUNIOR HIGH SCHOOL";0
"50130-02105";"LAKEVIEW PUBLIC SCHOOLS (MACOMB) - LAKEVIEW HIGH SCHOOL";;;;"04483";"WESTLAKE ELEMENTARY SCHOOL";0
"50130-03124";"LAKEVIEW PUBLIC SCHOOLS (MACOMB) - PRINCETON ELEMENTARY SCHOOL";;;;"04488";"WESTVIEW ELEMENTARY SCHOOL";0
"50140-00000";"L'ANSE CREUSE PUBLIC SCHOOLS - ALL SCHOOLS";;;;"04489";"WESTWOOD MIDDLE SCHOOL";0
"50140-00145";"L'ANSE CREUSE PUBLIC SCHOOLS - ATWOOD ELEMENTARY SCHOOL";;;;"04490";"WESTWOOD ELEMENTARY SCHOOL";0
"50140-00668";"L'ANSE CREUSE PUBLIC SCHOOLS - CHESTERFIELD ELEMENTARY SCHOOL";;;;"04491";"KING-WESTWOOD ELEMENTARY SCHOOL";0
"50140-02060";"L'ANSE CREUSE PUBLIC SCHOOLS - L'ANSE CREUSE MIDDLE SCHOOL - NORTH";;;;"04499";"WHITE CLOUD HIGH SCHOOL";0
"50140-02119";"L'ANSE CREUSE PUBLIC SCHOOLS - L'ANSE CREUSE MIDDLE SCHOOL - SOUTH";;;;"04500";"WHITE ELEMENTARY SCHOOL";0
"50140-02124";"L'ANSE CREUSE PUBLIC SCHOOLS - L'ANSE CREUSE HIGH SCHOOL";;;;"04502";"WHITE PIGEON JR/SR HIGH SCHOOL";0
"50140-02125";"L'ANSE CREUSE PUBLIC SCHOOLS - L'ANSE CREUSE MIDDLE SCHOOL - CENTRAL";;;;"04503";"CENTRAL ELEMENTARY SCHOOL";0
"50140-02374";"L'ANSE CREUSE PUBLIC SCHOOLS - MARIE C. GRAHAM ELEM. SCHOOL";;;;"04506";"WHITEFISH TOWNSHIP SCHOOL";0
"50140-03530";"L'ANSE CREUSE PUBLIC SCHOOLS - SOUTH RIVER ELEMENTARY SCHOOL";;;;"04507";"WHITEFORD HIGH SCHOOL";0
"50140-05223";"L'ANSE CREUSE PUBLIC SCHOOLS - GREEN ELEMENTARY SCHOOL";;;;"04508";"WHITEHALL EALY ELEM. SCHOOL";0
"50140-05970";"L'ANSE CREUSE PUBLIC SCHOOLS - MACOMB COUNTY JUVENILE JUSTICE CENTER SCHOOL";;;;"04509";"WHITEHALL MIDDLE SCHOOL";0
"50140-06360";"L'ANSE CREUSE PUBLIC SCHOOLS - EMMA V. LOBBESTAEL ELEM. SCHOOL";;;;"04510";"WHITEHALL SENIOR HIGH SCHOOL";0
"50140-06487";"L'ANSE CREUSE PUBLIC SCHOOLS - L'ANSE CREUSE HIGH SCHOOL - NORTH";;;;"04511";"WHITEHILLS ELEMENTARY SCHOOL";0
"50140-06488";"L'ANSE CREUSE PUBLIC SCHOOLS - TENNISWOOD ELEMENTARY SCHOOL";;;;"04514";"WHITMORE-BOLLES ELEMENTARY SCHOOL";0
"50140-06768";"L'ANSE CREUSE PUBLIC SCHOOLS - DONALD J. YACKS ELEM. SCHOOL";;;;"04515";"WHITMORE LAKE HIGH SCHOOL";0
"50140-07833";"L'ANSE CREUSE PUBLIC SCHOOLS - L'ANSE CREUSE ADULT EDUCATION";;;;"04516";"WHITTEMORE-PRESCOTT AREA H.S.";0
"50140-08242";"L'ANSE CREUSE PUBLIC SCHOOLS - FRANCIS A. HIGGINS ELEM. SCHOOL";;;;"04520";"CLASSICAL ACADEMY";0
"50140-08735";"L'ANSE CREUSE PUBLIC SCHOOLS - L'ANSE CREUSE MIDDLE SCHOOL - EAST";;;;"04526";"WILEY ELEMENTARY SCHOOL";0
"50140-08879";"L'ANSE CREUSE PUBLIC SCHOOLS - JOSEPH M. CARKENORD ELEMENTARY SCHOOL";;;;"04527";"WILKINS ELEMENTARY SCHOOL";0
"50160-00000";"MT. CLEMENS COMMUNITY SCHOOL DISTRICT - ALL SCHOOLS";;;;"04528";"WILKINSON MIDDLE SCHOOL";0
"50160-02624";"MT. CLEMENS COMMUNITY SCHOOL DISTRICT - MT. CLEMENS HIGH SCHOOL";;;;"04530";"WILL L. LEE SCHOOL";0
"50160-07252";"MT. CLEMENS COMMUNITY SCHOOL DISTRICT - MT. CLEMENS MIDDLE SCHOOL";;;;"04532";"ROGERS SCHOOL";0
"50160-09336";"MT. CLEMENS COMMUNITY SCHOOL DISTRICT - GEORGE WASHINGTON ACADEMY";;;;"04534";"BURT ELEMENTARY SCHOOL";0
"50160-09337";"MT. CLEMENS COMMUNITY SCHOOL DISTRICT - KING ACADEMY OF EXTENDED LEARNING AND TECHNOLOGY";;;;"04535";"BEAUMONT ELEMENTARY SCHOOL";0
"50160-09338";"MT. CLEMENS COMMUNITY SCHOOL DISTRICT - SEMINOLE ACADEMY";;;;"04536";"WILLIAM FORD ELEMENTARY SCHOOL";0
"50170-00000";"NEW HAVEN COMMUNITY SCHOOLS - ALL SCHOOLS";;;;"04537";"WILLIAM GRACE ELEMENTARY SCHOOL";0
"50170-00986";"NEW HAVEN COMMUNITY SCHOOLS - E.F. SIEFERT ELEMENTARY SCHOOL";;;;"04541";"NOWLIN ELEMENTARY SCHOOL";0
"50170-02683";"NEW HAVEN COMMUNITY SCHOOLS - NEW HAVEN HIGH SCHOOL";;;;"04542";"WILLIAMS ELEMENTARY SCHOOL";0
"50170-09437";"NEW HAVEN COMMUNITY SCHOOLS - NEW HAVEN ELEMENTARY SCHOOL";;;;"04546";"WILLIAMSTON MIDDLE SCHOOL";0
"50180-00000";"RICHMOND COMMUNITY SCHOOLS - ALL SCHOOLS";;;;"04547";"WILLIAMSTON EXPLORER ELEMENTARY SCHOOL";0
